event,time,ip,user,code,time
726,19:36:04,20216812083,5,331,
727,19:36:04,20216812083,5,530,
728,19:36:05,20216812083,5,331,
729,19:36:05,20216812083,5,530,
730,19:36:07,20216812083,5,331,
731,19:36:07,20216812083,5,530,
732,19:36:09,20216812083,5,331,
733,19:36:09,20216812083,5,530,
734,19:36:10,20216812083,5,331,
735,19:36:10,20216812083,5,530,
736,19:36:12,20216812083,5,331,
737,19:36:12,20216812083,5,530,
738,19:36:14,20216812083,5,331,
739,19:36:14,20216812083,5,530,
740,19:36:16,20216812083,5,331,
741,19:36:16,20216812083,5,530,
742,19:36:17,20216812083,5,331,
743,19:36:17,20216812083,5,530,
744,19:36:19,20216812083,5,331,
745,19:36:19,20216812083,5,530,
746,19:36:21,20216812083,5,331,
747,19:36:21,20216812083,5,530,
748,19:36:22,20216812083,5,331,
749,19:36:22,20216812083,5,530,
750,19:36:24,20216812083,5,331,
751,19:36:24,20216812083,5,530,
752,19:36:26,20216812083,5,331,
753,19:36:26,20216812083,5,530,
754,19:36:27,20216812083,5,331,
755,19:36:27,20216812083,5,530,
756,19:36:29,20216812083,5,331,
757,19:36:29,20216812083,5,530,
758,19:36:31,20216812083,5,331,
759,19:36:31,20216812083,5,530,
760,19:36:32,20216812083,5,331,
761,19:36:32,20216812083,5,530,
762,19:36:34,20216812083,5,331,
763,19:36:34,20216812083,5,530,
764,19:36:36,20216812083,5,331,
765,19:36:36,20216812083,5,530,
766,19:36:37,20216812083,5,331,
767,19:36:37,20216812083,5,530,
768,19:36:39,20216812083,5,331,
769,19:36:39,20216812083,5,530,
770,19:36:41,20216812083,5,331,
771,19:36:41,20216812083,5,530,
772,19:36:42,20216812083,5,331,
773,19:36:42,20216812083,5,530,
774,19:36:44,20216812083,5,331,
775,19:36:44,20216812083,5,530,
776,19:36:46,20216812083,5,331,
777,19:36:46,20216812083,5,530,
778,19:36:48,20216812083,5,331,
779,19:36:48,20216812083,5,530,
780,19:36:49,20216812083,5,331,
781,19:36:49,20216812083,5,530,
782,19:36:51,20216812083,5,331,
783,19:36:51,20216812083,5,530,
784,19:36:53,20216812083,5,331,
785,19:36:53,20216812083,5,530,
786,19:36:54,20216812083,5,331,
787,19:36:54,20216812083,5,530,
788,19:36:56,20216812083,5,331,
789,19:36:56,20216812083,5,530,
790,19:36:58,20216812083,5,331,
791,19:36:58,20216812083,5,530,
792,19:36:59,20216812083,5,331,
793,19:36:59,20216812083,5,530,
794,19:37:01,20216812083,5,331,
795,19:37:01,20216812083,5,530,
796,19:37:03,20216812083,5,331,
797,19:37:03,20216812083,5,530,
798,19:37:04,20216812083,5,331,
799,19:37:04,20216812083,5,530,
800,19:37:06,20216812083,5,331,
801,19:37:06,20216812083,5,530,
802,19:37:08,20216812083,5,331,
803,19:37:08,20216812083,5,530,
804,19:37:09,20216812083,5,331,
805,19:37:09,20216812083,5,530,
806,19:37:11,20216812083,5,331,
807,19:37:11,20216812083,5,530,
808,19:37:13,20216812083,5,331,
809,19:37:13,20216812083,5,530,
810,19:37:14,20216812083,5,331,
811,19:37:14,20216812083,5,530,
812,19:37:16,20216812083,5,331,
813,19:37:16,20216812083,5,530,
814,19:37:18,20216812083,5,331,
815,19:37:18,20216812083,5,530,
816,19:37:19,20216812083,5,331,
817,19:37:19,20216812083,5,530,
818,19:37:21,20216812083,5,331,
819,19:37:21,20216812083,5,530,
820,19:37:23,20216812083,5,331,
821,19:37:23,20216812083,5,530,
822,19:37:24,20216812083,5,331,
823,19:37:24,20216812083,5,530,
824,19:37:26,20216812083,5,331,
825,19:37:26,20216812083,5,530,
826,19:37:28,20216812083,5,331,
827,19:37:28,20216812083,5,530,
828,19:37:29,20216812083,5,331,
829,19:37:29,20216812083,5,530,
830,19:37:31,20216812083,5,331,
831,19:37:31,20216812083,5,530,
832,19:37:33,20216812083,5,331,
833,19:37:33,20216812083,5,530,
834,19:37:34,20216812083,5,331,
835,19:37:34,20216812083,5,530,
836,19:37:36,20216812083,5,331,
837,19:37:36,20216812083,5,530,
838,19:37:38,20216812083,5,331,
839,19:37:38,20216812083,5,530,
840,19:37:39,20216812083,5,331,
841,19:37:39,20216812083,5,530,
842,19:37:41,20216812083,5,331,
843,19:37:41,20216812083,5,530,
844,19:37:43,20216812083,5,331,
845,19:37:43,20216812083,5,530,
846,19:37:44,20216812083,5,331,
847,19:37:44,20216812083,5,530,
848,19:37:46,20216812083,5,331,
849,19:37:46,20216812083,5,530,
850,19:37:48,20216812083,5,331,
851,19:37:48,20216812083,5,530,
852,19:37:49,20216812083,5,331,
853,19:37:49,20216812083,5,530,
854,19:37:51,20216812083,5,331,
855,19:37:51,20216812083,5,530,
856,19:37:53,20216812083,5,331,
857,19:37:53,20216812083,5,530,
858,19:37:54,20216812083,5,331,
859,19:37:54,20216812083,5,530,
860,19:37:56,20216812083,5,331,
861,19:37:56,20216812083,5,530,
862,19:37:58,20216812083,5,331,
863,19:37:58,20216812083,5,530,
864,19:38:00,20216812083,5,331,
865,19:38:00,20216812083,5,530,
866,19:38:01,20216812083,5,331,
867,19:38:01,20216812083,5,530,
868,19:38:03,20216812083,5,331,
869,19:38:03,20216812083,5,530,
870,19:38:05,20216812083,5,331,
871,19:38:05,20216812083,5,530,
872,19:38:06,20216812083,5,331,
873,19:38:06,20216812083,5,530,
874,19:38:08,20216812083,5,331,
875,19:38:08,20216812083,5,530,
876,19:38:10,20216812083,5,331,
877,19:38:10,20216812083,5,530,
878,19:38:11,20216812083,5,331,
879,19:38:11,20216812083,5,530,
880,19:38:13,20216812083,5,331,
881,19:38:13,20216812083,5,530,
882,19:38:15,20216812083,5,331,
883,19:38:15,20216812083,5,530,
884,19:38:16,20216812083,5,331,
885,19:38:16,20216812083,5,530,
886,19:38:18,20216812083,5,331,
887,19:38:18,20216812083,5,530,
888,19:38:20,20216812083,5,331,
889,19:38:20,20216812083,5,530,
890,19:38:21,20216812083,5,331,
891,19:38:21,20216812083,5,530,
